,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,seed,threshold
0,1678,7377694,0,0,1.0,0.00022739062348394958,0.00022739062348394958,1.0,0.00045467785748640096,1,0.0
1,610,19580,1068,7358114,1.0,0.9972019299203239,0.030212976721149084,0.3635280095351609,0.055789281141393816,1,0.05
2,458,570,1220,7377124,1.0,0.9997574319332323,0.4455252918287938,0.2729439809296782,0.3385070214338507,1,0.1
3,366,104,1312,7377590,1.0,0.9998081137527692,0.7787234042553192,0.21811680572109654,0.34078212290502796,1,0.15000000000000002
4,290,44,1388,7377650,1.0,0.9998059455465859,0.8682634730538922,0.1728247914183552,0.28827037773359837,1,0.2
5,232,12,1446,7377682,1.0,0.9998024222115378,0.9508196721311475,0.13825983313468415,0.24141519250780433,1,0.25
6,182,8,1496,7377686,1.0,0.9997961886187605,0.9578947368421052,0.10846245530393325,0.19486081370449682,1,0.30000000000000004
7,140,2,1538,7377692,1.0,0.9997913101548479,0.9859154929577465,0.08343265792610251,0.15384615384615385,1,0.35000000000000003
8,110,0,1568,7377694,1.0,0.9997875157940269,1.0,0.06555423122765197,0.12304250559284116,1,0.4
9,92,0,1586,7377694,1.0,0.9997850765620706,1.0,0.054827175208581644,0.10395480225988701,1,0.45
10,72,0,1606,7377694,1.0,0.9997823663043414,1.0,0.04290822407628129,0.0822857142857143,1,0.5
11,58,0,1620,7377694,1.0,0.9997804691239309,1.0,0.03456495828367104,0.06682027649769585,1,0.55
12,32,0,1646,7377694,1.0,0.9997769457888829,1.0,0.01907032181168057,0.03742690058479532,1,0.6000000000000001
13,22,0,1656,7377694,1.0,0.9997755906600182,1.0,0.013110846245530394,0.025882352941176467,1,0.65
14,18,0,1660,7377694,1.0,0.9997750486084723,1.0,0.010727056019070322,0.02122641509433962,1,0.7000000000000001
15,16,0,1662,7377694,1.0,0.9997747775826995,1.0,0.009535160905840286,0.018890200708382526,1,0.75
16,14,0,1664,7377694,1.0,0.9997745065569266,1.0,0.00834326579261025,0.016548463356973995,1,0.8
17,14,0,1664,7377694,1.0,0.9997745065569266,1.0,0.00834326579261025,0.016548463356973995,1,0.8500000000000001
18,12,0,1666,7377694,1.0,0.9997742355311536,1.0,0.007151370679380214,0.014201183431952662,1,0.9
19,12,0,1666,7377694,1.0,0.9997742355311536,1.0,0.007151370679380214,0.014201183431952662,1,0.9500000000000001
20,6,0,1672,7377694,1.0,0.9997734224538348,1.0,0.003575685339690107,0.007125890736342041,1,1.0
